city,state,state_fips,population,lat,lon,most_populous
Birmingham,Alabama,1,212113,33.5206608,-86.80249,TRUE
Montgomery,Alabama,1,201332,32.3668052,-86.2999689,
Mobile,Alabama,1,194899,30.6953657,-88.0398912,
Huntsville,Alabama,1,186254,34.7303688,-86.5861037,
Tuscaloosa,Alabama,1,95334,33.2098407,-87.5691735,
Anchorage,Alaska,2,300950,61.2180556,-149.9002778,TRUE
Juneau,Alaska,2,32555,58.305801,-134.433304,
Fairbanks,Alaska,2,32515,64.835365,-147.776749,
Phoenix,Arizona,4,1513367,33.4483771,-112.0740373,TRUE
Tucson,Arizona,4,526116,32.2217429,-110.926479,
Yuma,Arizona,4,97428,32.698437,-114.650398,
Flagstaff,Arizona,4,73319,35.198284,-111.651299,
Little Rock,Arkansas,5,197357,34.7464809,-92.2895948,TRUE
Fort Smith,Arkansas,5,87650,35.3859242,-94.3985475,
Fayetteville,Arkansas,5,78960,36.0625795,-94.1574263,
Jonesboro,Arkansas,5,71551,35.8422967,-90.704279,
Los Angeles,California,6,3884307,34.0522342,-118.2436849,TRUE
San Diego,California,6,1355896,32.715738,-117.1610838,
San Jose,California,6,998537,37.3382082,-121.8863286,
San Francisco,California,6,837442,37.7749295,-122.4194155,
Fresno,California,6,509924,36.7468422,-119.7725868,
Sacramento,California,6,479686,38.5815719,-121.4943996,
Denver,Colorado,8,649495,39.7392358,-104.990251,TRUE
Colorado Springs,Colorado,8,439886,38.8338816,-104.8213634,
Fort Collins,Colorado,8,152061,40.5852602,-105.084423,
Pueblo,Colorado,8,108249,38.2544472,-104.6091409,
Boulder,Colorado,8,103166,40.0149856,-105.2705456,
Bridgeport,Connecticut,9,147216,41.1865478,-73.1951767,TRUE
New Haven,Connecticut,9,130660,41.308274,-72.9278835,
Stamford,Connecticut,9,126456,41.0534302,-73.5387341,
Hartford,Connecticut,9,125017,41.7637111,-72.6850932,
Waterbury,Connecticut,9,109676,41.5581525,-73.0514965,
Wilmington,Delaware,10,71525,39.7390721,-75.5397878,TRUE
Dover,Delaware,10,37366,39.158168,-75.5243682,
Milford,Delaware,10,31155,38.917534,-75.441925,
Jacksonville,Florida,12,842583,30.3321838,-81.655651,TRUE
Miami,Florida,12,417650,25.7616798,-80.1917902,
Tampa,Florida,12,352957,27.950575,-82.4571776,
Orlando,Florida,12,255483,28.5383355,-81.3792365,
Tallahassee,Florida,12,186411,30.4382559,-84.2807329,
West Palm Beach,Florida,12,102436,26.7153424,-80.0533746,
Atlanta,Georgia,13,447841,33.7489954,-84.3879824,TRUE
Columbus,Georgia,13,202824,32.4609764,-84.9877094,
Augusta,Georgia,13,197350,33.4734978,-82.0105148,
Savannah,Georgia,13,142772,32.0835407,-81.0998342,
Athens,Georgia,13,119980,33.9519347,-83.357567,
Roswell,Georgia,13,94034,34.0232431,-84.3615555,
Macon,Georgia,13,89981,32.8406946,-83.6324022,
Honolulu,Hawaii,15,347884,21.3069444,-157.8583333,TRUE
Hilo,Hawaii,15,44370,19.724112,-155.086823,
Boise,Idaho,16,214237,43.6187102,-116.2146068,TRUE
Idaho Falls,Idaho,16,58292,43.4916514,-112.0339645,
Pocatello,Idaho,16,54350,42.8713032,-112.4455344,
Chicago,Illinois,17,2718782,41.8781136,-87.6297982,TRUE
Rockford,Illinois,17,150251,42.2711311,-89.0939952,
Joliet,Illinois,17,147806,41.525031,-88.0817251,
Springfield,Illinois,17,117006,39.7817213,-89.6501481,
Peoria,Illinois,17,116513,40.6936488,-89.5889864,
Elgin,Illinois,17,110145,42.0354084,-88.2825668,
Indianapolis,Indiana,18,843393,39.768403,-86.158068,TRUE
