state,state_map_abbr,state_po,state_fips,state_cen,state_ic,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,el_votes_gop,el_votes_dem,flip
Alabama,Ala.,AL,1,63,41,1441170,849624,2323282,591546,0.6203164317,0.3656999021,0.2546165295,9,0,
Alaska,Alaska,AK,2,94,81,189951,153778,359530,36173,0.5283314327,0.4277195227,0.10061191,3,0,
Arizona,Ariz.,AZ,4,86,61,1661686,1672143,3387326,-10457,0.4905598103,0.4936469061,-0.003087095839,0,11,TRUE
Arkansas,Ark.,AR,5,71,42,760647,423932,1219069,336715,0.6239572986,0.3477506195,0.276206679,6,0,
California,Calif.,CA,6,93,71,6006429,11110250,17500881,-5103821,0.3432072363,0.6348394689,-0.2916322327,0,55,
Colorado,Colo.,CO,8,84,62,1364607,1804352,3256980,-439745,0.4189792384,0.5539954191,-0.1350161806,0,9,
Connecticut,Conn.,CT,9,16,1,714717,1080831,1823857,-366114,0.3918711829,0.5926073152,-0.2007361323,0,7,
Delaware,Del.,DE,10,51,11,200603,296268,504346,-95665,0.3977487677,0.5874300579,-0.1896812902,0,3,
District Of Columbia,DC,DC,11,53,55,18586,317323,344356,-298737,0.05397321377,0.9214969392,-0.8675237254,0,3,
Florida,Fla.,FL,12,59,43,5668731,5297045,11067456,371686,0.5121981962,0.4786145073,0.03358368897,29,0,
Georgia,Ga.,GA,13,58,44,2461854,2473633,4999960,-11779,0.492374739,0.4947305578,-0.002355818847,0,16,TRUE
Hawaii,Hawaii,HI,15,95,82,196864,366130,574469,-169266,0.3426886394,0.6373363924,-0.294647753,0,4,
Idaho,Idaho,ID,16,82,63,554119,287021,868014,267098,0.6383756483,0.3306640215,0.3077116268,4,0,
Illinois,Ill.,IL,17,33,21,2446891,3471915,6033743,-1025024,0.4055345082,0.5754164538,-0.1698819456,0,20,
Indiana,Ind.,IN,18,32,22,1729519,1242416,3033118,487103,0.5702115777,0.4096167706,0.1605948071,11,0,
Iowa,Iowa,IA,19,42,31,897672,759061,1690871,138611,0.5308932497,0.4489171557,0.08197609398,6,0,
Kansas,Kan.,KS,20,47,32,771406,570323,1373990,201083,0.5614349449,0.4150852626,0.1463496823,6,0,
Kentucky,Ky.,KY,21,61,51,1326646,772474,2136768,554172,0.6208657187,0.3615151481,0.2593505706,8,0,
Louisiana,La.,LA,22,72,45,1255776,856034,2148062,399742,0.5846088241,0.398514568,0.1860942561,8,0,
Maine,Maine,ME,23,11,2,360737,435072,819461,-74335,0.4402125299,0.5309245956,-0.09071206561,1,3,
Maryland,Md.,MD,24,52,52,976414,1985023,3037030,-1008609,0.3215029157,0.6536066486,-0.3321037329,0,10,
Massachusetts,Mass.,MA,25,14,3,1167202,2382202,3631402,-1215000,0.3214191103,0.6560006301,-0.3345815198,0,11,
Michigan,Mich.,MI,26,34,23,2649852,2804040,5539302,-154188,0.4783729069,0.5062081829,-0.027835276,0,16,TRUE
Minnesota,Minn.,MN,27,41,33,1484065,1717077,3277171,-233012,0.4528494241,0.5239509931,-0.07110156901,0,10,
Mississippi,Miss.,MS,28,64,46,756764,539398,1313759,217366,0.5760295458,0.4105760646,0.1654534812,6,0,
Missouri,Mo.,MO,29,43,34,1718736,1253014,3025962,465722,0.5679965578,0.4140878174,0.1539087404,10,0,
Montana,Mont.,MT,30,81,64,343602,244786,603674,98816,0.5691846924,0.4054936936,0.1636909988,3,0,
Nebraska,Neb.,NE,31,46,35,556846,374583,956383,182263,0.5822416333,0.3916663094,0.1905753239,4,1,
Nevada,Nev.,NV,32,88,65,669890,703486,1405376,-33596,0.4766624732,0.5005678196,-0.02390534633,0,6,
New Hampshire,N.H.,NH,33,12,4,365654,424921,806182,-59267,0.453562595,0.5270782528,-0.07351565775,0,4,
New Jersey,N.J.,NJ,34,22,12,1883274,2608335,4549353,-725061,0.4139652386,0.5733419675,-0.159376729,0,14,
New Mexico,N.M.,NM,35,85,66,401894,501614,923965,-99720,0.4349666925,0.5428928585,-0.107926166,0,5,
New York,N.Y.,NY,36,21,13,3251997,5244886,8616681,-1992889,0.3774071478,0.6086898192,-0.2312826714,0,29,
North Carolina,N.C.,NC,37,56,47,2758775,2684292,5524802,74483,0.4993436869,0.4858621178,0.01348156911,15,0,
North Dakota,N.D.,ND,38,44,36,235595,114902,361819,120693,0.6511404874,0.3175676236,0.3335728638,3,0,
Ohio,Ohio,OH,39,31,24,3154834,2679165,5922202,475669,0.532713001,0.4523933834,0.0803196176,18,0,
Oklahoma,Okla.,OK,40,73,53,1020280,503890,1560699,516390,0.6537327185,0.3228617434,0.3308709751,7,0,
Oregon,Ore.,OR,41,92,72,958448,1340383,2374321,-381935,0.4036724605,0.5645331865,-0.1608607261,0,7,
Pennsylvania,Pa.,PA,42,23,14,3377674,3458229,6915283,-80555,0.4884361204,0.5000849568,-0.01164883635,0,20,TRUE
Rhode Island,R.I.,RI,44,15,5,199922,307486,517757,-107564,0.3861309456,0.5938809132,-0.2077499676,0,4,
South Carolina,S.C.,SC,45,57,48,1385103,1091541,2514096,293562,0.5509348092,0.434168385,0.1167664242,9,0,
South Dakota,S.D.,SD,46,45,37,261043,150471,422609,110572,0.6176938967,0.3560525214,0.2616413754,3,0,
Tennessee,Tenn.,TN,47,62,54,1852475,1143711,3053851,708764,0.6066029417,0.3745143427,0.232088599,11,0,
Texas,Texas,TX,48,74,49,5890347,5259126,11315056,631221,0.520576036,0.4647900991,0.0557859369,38,0,
